Palavra,Descoberta,Letras passadas,Tamanho,Letras diferentes,Num de letras faltando,Letras faltando,Percentual letras diferentes descobertas
manobra,"['m', 'a', 'n', '_', '_', 'r', 'a']","['a', 'r', 'c', 't', 'l', 'n', 'm', 'e', 'd']",7,4,2,"['b', 'o']",0.3333333333333333
zurrarei,"['_', '_', 'r', 'r', 'a', 'r', 'e', 'i']","['a', 'r', 'e', 's', 'i', 'o', 'b', 'c', 'f']",8,4,2,"['z', 'u']",0.3333333333333333
lavei,"['_', 'a', 'v', 'e', 'i']","['a', 's', 'r', 'm', 'i', 'e', 'c', 'v', 'h']",5,4,1,['l'],0.2
uivem,"['_', 'i', '_', 'e', 'm']","['a', 'e', 'm', 'o', 'r', 'i', 't', 'l']",5,3,2,"['u', 'v']",0.4
azules,"['a', '_', 'u', 'l', 'e', 's']","['a', 'e', 'i', 's', 'r', 'u', 'd', 'c', 'l', 'n']",6,5,1,['z'],0.16666666666666666
insularam,"['i', 'n', '_', '_', '_', 'a', 'r', 'a', 'm']","['a', 'r', 'e', 'o', 'm', 'i', 'n', 'c', 'd', 'f']",9,5,3,"['l', 'u', 's']",0.375
afixe,"['a', 'f', 'i', '_', 'e']","['a', 'e', 'i', 't', 'l', 'm', 'v', 'f', 'n']",5,4,1,['x'],0.2
iene,"['_', 'e', '_', 'e']","['a', 'o', 'e', 'l', 'd', 'r']",4,1,2,"['i', 'n']",0.6666666666666666
garota,"['_', 'a', 'r', 'o', '_', 'a']","['a', 'r', 'i', 'e', 'p', 'o', 'c', 'f']",6,3,2,"['t', 'g']",0.4
piada,"['_', '_', 'a', 'd', 'a']","['a', 'r', 'c', 'd', 'e', 't', 's']",5,2,2,"['p', 'i']",0.5
fumegaste,"['_', '_', '_', 'e', '_', 'a', 's', 't', 'e']","['a', 'r', 's', 'e', 't', 'n', 'l', 'c', 'j']",9,4,4,"['f', 'u', 'm', 'g']",0.5
jazo,"['_', 'a', '_', 'o']","['a', 'o', 'c', 't', 'r', 'g', 'n']",4,2,2,"['z', 'j']",0.5
anexai,"['a', '_', '_', '_', 'a', 'i']","['a', 'i', 'l', 't', 'r', 'f', 's']",6,2,3,"['x', 'n', 'e']",0.6
apalpado,"['a', '_', 'a', '_', '_', 'a', 'd', 'o']","['a', 'r', 's', 'o', 'm', 'd', 'h', 'i']",8,3,3,"['l', 'p']",0.4
espumo,"['e', 's', '_', 'u', '_', 'o']","['a', 'e', 'o', 's', 't', 'c', 'r', 'u', 'i']",6,4,2,"['m', 'p']",0.3333333333333333
injetadas,"['_', 'n', '_', 'e', '_', 'a', 'd', 'a', 's']","['a', 'r', 's', 'v', 'd', 'e', 'l', 'c', 'n', 'f']",9,5,3,"['j', 't', 'i']",0.375
agua,"['a', '_', '_', 'a']","['a', 'r', 'l', 'i', 't', 's']",4,1,2,"['u', 'g']",0.6666666666666666
despejo,"['d', 'e', 's', 'p', 'e', '_', 'o']","['a', 'e', 'i', 'o', 'm', 'r', 's', 'd', 'p', 'c']",7,5,1,['j'],0.16666666666666666
manjavas,"['m', 'a', 'n', '_', 'a', 'v', 'a', 's']","['a', 'r', 's', 'v', 'c', 't', 'l', 'n', 'm', 'd']",8,5,1,['j'],0.16666666666666666
bitolamo,"['_', '_', '_', 'o', '_', 'a', 'm', 'o']","['a', 'o', 'm', 'e', 'r', 'c', 's', 'g']",8,3,4,"['l', 'b', 't', 'i']",0.5714285714285714
repuxarias,"['r', 'e', '_', '_', '_', 'a', 'r', 'i', 'a', 's']","['a', 'r', 'e', 'i', 's', 'l', 't', 'c', 'v', 'f']",10,5,3,"['u', 'p', 'x']",0.375
borbulhamo,"['b', 'o', 'r', 'b', 'u', 'l', 'h', 'a', '_', 'o']","['a', 'i', 'e', 'o', 'c', 's', 'b', 'r', 'u', 'l', 'h', 'd']",10,7,1,['m'],0.125
decolam,"['d', 'e', '_', '_', '_', 'a', 'm']","['a', 'r', 's', 'i', 'm', 'e', 'v', 'd', 't']",7,4,3,"['l', 'c', 'o']",0.42857142857142855
bobeamos,"['_', 'o', '_', '_', 'a', 'm', 'o', 's']","['a', 'r', 's', 'o', 'm', 'l', 'c', 'p', 'v']",8,4,3,"['b', 'e']",0.3333333333333333
trino,"['t', 'r', 'i', '_', 'o']","['a', 'e', 'o', 'i', 'r', 't', 'b', 'c', 'g']",5,4,1,['n'],0.2
miudo,"['_', 'i', '_', '_', 'o']","['a', 'e', 'o', 'i', 'n', 's', 'l']",5,2,3,"['d', 'm', 'u']",0.6
palhaco,"['_', 'a', '_', '_', 'a', '_', 'o']","['a', 'r', 's', 'o', 'm', 'd', 'n']",7,2,4,"['l', 'c', 'p', 'h']",0.6666666666666666
englobei,"['e', 'n', '_', '_', '_', '_', 'e', 'i']","['a', 'e', 's', 'i', 'r', 'n', 'u', 't']",8,3,4,"['l', 'b', 'o', 'g']",0.5714285714285714
alvejados,"['a', '_', '_', '_', '_', 'a', 'd', 'o', 's']","['a', 'r', 's', 'o', 'm', 'd', 'n', 't', 'i']",9,4,4,"['l', 'v', 'j', 'e']",0.5
solapa,"['_', '_', '_', 'a', '_', 'a']","['a', 'r', 'v', 'd', 'c', 'n']",6,1,4,"['l', 's', 'p', 'o']",0.8
andar,"['a', '_', '_', 'a', 'r']","['a', 's', 'r', 'c', 'i', 't', 'm']",5,2,2,"['d', 'n']",0.5
salvamos,"['s', 'a', 'l', '_', 'a', 'm', 'o', 's']","['a', 'r', 's', 'd', 'm', 'o', 'b', 'l', 'g', 't']",8,5,1,['v'],0.16666666666666666
chupassemos,"['c', 'h', '_', '_', 'a', 's', 's', 'e', 'm', 'o', 's']","['a', 's', 'e', 'o', 'm', 'r', 'i', 'l', 'n', 'c', 'h', 'g']",11,7,2,"['u', 'p']",0.2222222222222222
falhava,"['_', 'a', 'l', '_', 'a', 'v', 'a']","['a', 'r', 'v', 's', 't', 'n', 'l', 'c']",7,3,2,"['f', 'h']",0.4
sete,"['_', 'e', '_', 'e']","['a', 'o', 'e', 'l', 'd', 'r']",4,1,2,"['s', 't']",0.6666666666666666
fixasse,"['f', 'i', '_', 'a', 's', 's', 'e']","['a', 'r', 's', 'e', 'c', 'i', 'l', 'm', 'f', 't']",7,5,1,['x'],0.16666666666666666
brocares,"['_', 'r', '_', '_', 'a', 'r', 'e', 's']","['a', 'r', 'e', 'i', 'm', 's', 't', 'p', 'd']",8,4,3,"['b', 'c', 'o']",0.42857142857142855
lutador,"['l', '_', '_', 'a', 'd', 'o', 'r']","['a', 'r', 'e', 'o', 'd', 'm', 'i', 'c', 'l', 'v']",7,5,2,"['u', 't']",0.2857142857142857
divagues,"['_', 'i', '_', 'a', '_', '_', 'e', 's']","['a', 's', 'e', 'r', 't', 'c', 'i', 'l', 'm']",8,4,4,"['d', 'u', 'v', 'g']",0.5
deputados,"['d', 'e', '_', '_', 't', 'a', 'd', 'o', 's']","['a', 'r', 's', 'o', 'm', 'd', 'e', 't', 'b', 'c', 'l']",9,6,2,"['u', 'p']",0.25
entupido,"['e', '_', '_', '_', '_', 'i', 'd', 'o']","['a', 'e', 's', 'o', 'i', 'd', 'l', 'm', 'x']",8,4,4,"['u', 't', 'p', 'n']",0.5
atapeto,"['a', '_', 'a', '_', '_', '_', 'o']","['a', 'r', 'i', 'm', 's', 'o', 'd']",7,2,4,"['t', 'p', 'e']",0.6
tocado,"['_', 'o', 'c', 'a', 'd', 'o']","['a', 'o', 'm', 'd', 'c', 'b', 'f', 'l', 'r']",6,4,1,['t'],0.2
azafama,"['a', '_', 'a', '_', 'a', '_', 'a']","['a', 'r', 'v', 'd', 'c', 't']",7,1,3,"['z', 'm', 'f']",0.75
canoras,"['c', 'a', '_', '_', 'r', 'a', 's']","['a', 's', 'r', 'c', 'b', 'm', 't', 'g', 'i']",7,4,2,"['n', 'o']",0.3333333333333333
quedas,"['_', '_', 'e', 'd', 'a', 's']","['a', 's', 'r', 'i', 'e', 'l', 'c', 'd', 'z']",6,4,2,"['u', 'q']",0.3333333333333333
formula,"['f', 'o', 'r', 'm', '_', '_', 'a']","['a', 'r', 'i', 'e', 'o', 'f', 'm', 'd', 't', 'v']",7,5,2,"['l', 'u']",0.2857142857142857
produzirem,"['p', 'r', '_', '_', '_', '_', 'i', 'r', 'e', 'm']","['a', 'e', 's', 'i', 'r', 'p', 'm', 'f', 't', 'v']",10,5,4,"['d', 'u', 'z', 'o']",0.4444444444444444
lutarem,"['_', 'u', '_', 'a', 'r', 'e', 'm']","['a', 'r', 'e', 'i', 's', 'm', 'o', 'u', 'f', 'd']",7,5,2,"['l', 't']",0.2857142857142857
falara,"['_', 'a', '_', 'a', 'r', 'a']","['a', 'r', 'c', 'v', 'p', 'n', 'b']",6,2,2,"['f', 'l']",0.5
genuflexao,"['_', '_', '_', '_', '_', '_', '_', '_', 'a', '_']","['a', 'r', 's', 'i', 'm', 'c']",10,1,9,"['l', 'n', 'o', 'x', 'g', 'f', 'u', 'e']",0.8888888888888888
pecai,"['_', 'e', 'c', 'a', 'i']","['a', 's', 'r', 'i', 'c', 'o', 'l', 'e', 'd']",5,4,1,['p'],0.2
relvas,"['r', 'e', '_', '_', 'a', 's']","['a', 's', 'r', 'e', 'i', 'u', 't', 'o', 'd']",6,4,2,"['l', 'v']",0.3333333333333333
mofa,"['m', 'o', '_', 'a']","['a', 'r', 'o', 'c', 't', 's', 'm', 'd']",4,3,1,['f'],0.25
fixadas,"['_', '_', '_', 'a', 'd', 'a', 's']","['a', 'r', 's', 'v', 'd', 'c', 'o', 'e']",7,3,3,"['f', 'i', 'x']",0.5
ogivas,"['_', '_', 'i', '_', 'a', 's']","['a', 's', 'r', 'i', 't', 'c', 'd', 'x']",6,3,3,"['v', 'g', 'o']",0.5
eufonia,"['e', 'u', '_', 'o', '_', 'i', 'a']","['a', 'r', 'i', 'e', 'o', 's', 'l', 't', 'u', 'd']",7,5,2,"['f', 'n']",0.2857142857142857
mede,"['_', 'e', 'd', 'e']","['a', 'o', 'e', 'l', 'd', 'c', 'f']",4,2,1,['m'],0.3333333333333333
perfis,"['_', 'e', 'r', '_', 'i', 's']","['a', 'e', 'r', 's', 'o', 'i', 'v', 'z', 'c']",6,4,2,"['f', 'p']",0.3333333333333333
permutou,"['p', 'e', 'r', '_', 'u', '_', 'o', 'u']","['a', 'e', 'r', 'i', 'o', 's', 'u', 'p', 'f', 'd']",8,5,2,"['m', 't']",0.2857142857142857
bundais,"['_', '_', '_', '_', 'a', 'i', 's']","['a', 'o', 'r', 'i', 's', 'e', 'c', 'l']",7,3,4,"['d', 'b', 'u', 'n']",0.5714285714285714
minerais,"['_', 'i', '_', '_', 'r', 'a', 'i', 's']","['a', 'o', 'i', 's', 'd', 't', 'l', 'r', 'g']",8,4,3,"['m', 'n', 'e']",0.42857142857142855
borbulhes,"['_', 'o', 'r', '_', '_', '_', '_', 'e', 's']","['a', 'e', 's', 'r', 'i', 't', 'o', 'c', 'd']",9,4,5,"['l', 'b', 'h', 'u']",0.5
boiamo,"['_', 'o', '_', 'a', 'm', 'o']","['a', 'o', 'm', 'c', 't', 'd', 'g', 's']",6,3,2,"['b', 'i']",0.4
pichar,"['_', 'i', 'c', 'h', 'a', 'r']","['a', 's', 'r', 'i', 'l', 'n', 'v', 'c', 'h', 'f']",6,5,1,['p'],0.16666666666666666
ditaremo,"['_', 'i', '_', 'a', 'r', 'e', 'm', 'o']","['a', 's', 'e', 'r', 'o', 'm', 'c', 'i', 'f', 'l', 'n']",8,6,2,"['d', 't']",0.25
vazaramos,"['v', 'a', '_', 'a', 'r', 'a', 'm', 'o', 's']","['a', 's', 'm', 'o', 'r', 'c', 'p', 'n', 'v', 'g', 'i']",9,6,1,['z'],0.14285714285714285
pegada,"['_', 'e', 'g', 'a', 'd', 'a']","['a', 'r', 'v', 'd', 'c', 'o', 'e', 'g', 'l']",6,4,1,['p'],0.2
fatigou,"['_', 'a', '_', 'i', '_', '_', '_']","['a', 's', 'r', 'm', 'c', 'i', 'n']",7,2,5,"['t', 'o', 'g', 'f', 'u']",0.7142857142857143
laudas,"['l', 'a', '_', '_', 'a', 's']","['a', 's', 'r', 'c', 'i', 'n', 'l', 'g']",6,3,2,"['d', 'u']",0.4
lerdas,"['_', 'e', 'r', 'd', 'a', 's']","['a', 's', 'r', 'o', 'e', 'c', 'v', 'i', 'd', 'h']",6,5,1,['l'],0.16666666666666666
dezoito,"['d', 'e', '_', 'o', '_', '_', 'o']","['a', 'e', 'r', 's', 'd', 'o', 'n', 'c']",7,3,3,"['z', 't', 'i']",0.5
sonhei,"['s', 'o', 'n', '_', 'e', 'i']","['a', 'e', 's', 'r', 'i', 'u', 'o', 'l', 'n', 'd']",6,5,1,['h'],0.16666666666666666
logrardes,"['_', 'o', '_', 'r', 'a', 'r', 'd', 'e', 's']","['a', 's', 'e', 'r', 'd', 'o', 'b', 'u', 'f', 'h', 'j']",9,6,2,"['l', 'g']",0.25
cunhemo,"['_', 'u', '_', '_', 'e', 'm', 'o']","['a', 'e', 'o', 'm', 'r', 'i', 'u', 'd', 's']",7,4,3,"['c', 'h', 'n']",0.42857142857142855
vejamos,"['v', 'e', '_', 'a', 'm', 'o', 's']","['a', 'r', 's', 'o', 'm', 'i', 'e', 'l', 'c', 'v', 'd']",7,6,1,['j'],0.14285714285714285
batavo,"['b', 'a', '_', 'a', '_', 'o']","['a', 'c', 'r', 'o', 'm', 'd', 'b', 'i']",6,3,2,"['t', 'v']",0.4
rugavas,"['r', '_', '_', 'a', 'v', 'a', 's']","['a', 'r', 'm', 's', 'd', 'e', 'v', 'o', 'i']",7,4,2,"['u', 'g']",0.3333333333333333
baleiam,"['_', 'a', '_', 'e', 'i', 'a', 'm']","['a', 's', 'r', 'm', 'v', 'i', 'e', 'p', 't']",7,4,2,"['l', 'b']",0.3333333333333333
monte,"['_', 'o', 'n', '_', 'e']","['a', 'e', 'r', 'i', 'o', 's', 'n', 'd']",5,3,2,"['m', 't']",0.4
fobia,"['_', '_', '_', 'i', 'a']","['a', 'r', 'i', 'e', 'u', 'c', 'l']",5,2,3,"['f', 'b', 'o']",0.6
peruana,"['_', 'e', 'r', '_', 'a', '_', 'a']","['a', 'r', 'v', 'd', 'c', 'f', 'e', 's']",7,3,3,"['u', 'p', 'n']",0.5
advens,"['a', '_', '_', 'e', '_', '_']","['a', 'e', 'i', 'r', 'o', 'l', 'c']",6,2,4,"['d', 's', 'v', 'n']",0.6666666666666666
adocicam,"['a', '_', '_', '_', 'i', '_', 'a', 'm']","['a', 'r', 's', 'm', 'v', 'i', 'n', 'l']",8,3,4,"['d', 'c', 'o']",0.5
fucava,"['_', '_', 'c', 'a', 'v', 'a']","['a', 'r', 'v', 'c', 'o', 'i', 'e', 'l']",6,3,2,"['f', 'u']",0.4
pilhariamos,"['_', 'i', '_', '_', 'a', 'r', 'i', 'a', 'm', 'o', 's']","['a', 's', 'r', 'i', 'm', 'o', 'c', 'v', 'g', 't', 'f']",11,6,3,"['l', 'p', 'h']",0.3333333333333333
refoguei,"['r', 'e', '_', 'o', '_', '_', 'e', 'i']","['a', 'e', 'r', 's', 'i', 'o', 'c', 't', 'v']",8,4,3,"['f', 'u', 'g']",0.42857142857142855
viajo,"['_', '_', 'a', '_', 'o']","['a', 'o', 'r', 'm', 'd', 't', 'c']",5,2,3,"['v', 'i', 'j']",0.6
gatuna,"['_', 'a', 't', '_', '_', 'a']","['a', 'r', 'c', 't', 'i', 'p', 'b']",6,2,3,"['u', 'n', 'g']",0.6
chutai,"['_', '_', '_', '_', 'a', 'i']","['a', 's', 'r', 'i', 'e', 'n', 'l']",6,2,4,"['u', 'c', 't', 'h']",0.6666666666666666
curvou,"['_', 'u', 'r', '_', 'o', 'u']","['a', 'e', 'o', 's', 'u', 'r', 't', 'b']",6,3,2,"['c', 'v']",0.4
gamadas,"['_', 'a', '_', 'a', 'd', 'a', 's']","['a', 's', 'r', 'v', 'c', 't', 'd', 'l']",7,3,2,"['m', 'g']",0.4
ultimas,"['_', '_', 't', 'i', '_', 'a', 's']","['a', 'r', 's', 'i', 'c', 'd', 't', 'v', 'n']",7,4,3,"['l', 'u', 'm']",0.42857142857142855
oxidaria,"['_', '_', 'i', '_', 'a', 'r', 'i', 'a']","['a', 'r', 'i', 't', 'e', 'v', 'l', 'm']",8,3,3,"['d', 'x', 'o']",0.5
talos,"['_', 'a', '_', 'o', 's']","['a', 's', 'e', 'o', 'c', 'g', 'r', 'd']",5,3,2,"['l', 't']",0.4
emplaca,"['_', '_', '_', '_', 'a', 'c', 'a']","['a', 'r', 'v', 'd', 'n', 'c', 'h']",7,2,4,"['l', 'm', 'p', 'e']",0.6666666666666666
vendei,"['_', 'e', 'n', 'd', 'e', 'i']","['a', 'e', 's', 'r', 'i', 'n', 'd', 'f', 'p']",6,4,1,['v'],0.2
senado,"['_', 'e', '_', 'a', 'd', 'o']","['a', 'o', 'm', 'd', 'c', 'r', 'i', 'e', 'l']",6,4,2,"['s', 'n']",0.3333333333333333
contate,"['_', 'o', '_', '_', 'a', '_', '_']","['a', 'o', 'r', 's', 'm', 'd', 'v']",7,2,5,"['c', 't', 'n', 'e']",0.6666666666666666
grelheis,"['_', 'r', 'e', '_', '_', 'e', 'i', 's']","['a', 'e', 'i', 's', 'r', 'p', 'c', 'm', 'b']",8,4,3,"['l', 'h', 'g']",0.42857142857142855
logravam,"['_', 'o', '_', 'r', 'a', 'v', 'a', 'm']","['a', 'r', 's', 'o', 'm', 'v', 'b', 'd', 'f', 'h']",8,5,2,"['l', 'g']",0.2857142857142857
ninavam,"['_', 'i', '_', 'a', 'v', 'a', 'm']","['a', 'r', 's', 'm', 'v', 'c', 'i', 'l', 'f']",7,4,2,['n'],0.2
navegai,"['_', 'a', '_', '_', '_', 'a', 'i']","['a', 's', 'r', 'm', 'i', 'c', 'b']",7,2,4,"['v', 'g', 'n', 'e']",0.6666666666666666
inovaramos,"['_', '_', 'o', '_', 'a', 'r', 'a', 'm', 'o', 's']","['a', 'r', 's', 'o', 'm', 'c', 'l', 't', 'f', 'p']",10,5,3,"['v', 'i', 'n']",0.375
pontifiqueis,"['_', '_', '_', 't', 'i', 'f', 'i', 'q', 'u', 'e', 'i', 's']","['a', 'e', 'i', 's', 'r', 'u', 'f', 'q', 't', 'b', 'j', 'm']",12,7,3,"['p', 'n', 'o']",0.3
voltaria,"['_', 'o', '_', 't', 'a', 'r', 'i', 'a']","['a', 'r', 'i', 'e', 'o', 't', 's', 'n', 'b', 'c']",8,5,2,"['l', 'v']",0.2857142857142857
vaso,"['_', 'a', '_', 'o']","['a', 'o', 'c', 't', 'r', 'g', 'n']",4,2,2,"['s', 'v']",0.5
azedam,"['a', '_', '_', '_', 'a', 'm']","['a', 'i', 'r', 's', 'm', 'l', 'f']",6,2,3,"['z', 'd', 'e']",0.6
pulsara,"['_', 'u', 'l', '_', 'a', 'r', 'a']","['a', 'r', 'i', 'e', 'o', 'u', 't', 'l', 'c']",7,4,2,"['s', 'p']",0.3333333333333333
atual,"['a', '_', 'u', 'a', 'l']","['a', 's', 'r', 'i', 'm', 'u', 'l', 'n']",5,3,1,['t'],0.25
pavio,"['_', 'a', 'v', 'i', '_']","['a', 's', 'r', 'm', 'i', 'v', 'c', 'd']",5,3,2,"['p', 'o']",0.4
fofoque,"['_', '_', '_', '_', '_', '_', 'e']","['a', 'e', 'r', 'i', 's', 'n']",7,1,6,"['f', 'u', 'q', 'o']",0.8
tem,"['_', 'e', 'm']","['a', 'o', 'e', 'm', 'b', 'c', 'h']",3,2,1,['t'],0.3333333333333333
capam,"['c', 'a', '_', 'a', 'm']","['a', 's', 'r', 'm', 'c', 'g', 'i', 'l']",5,3,1,['p'],0.25
vexes,"['_', 'e', '_', 'e', 's']","['a', 'e', 'm', 's', 'l', 'r', 'd']",5,2,2,"['v', 'x']",0.5
multavas,"['_', '_', 'l', 't', 'a', 'v', 'a', 's']","['a', 'r', 's', 'v', 'i', 'e', 'l', 't', 'o', 'f']",8,5,2,"['m', 'u']",0.2857142857142857
vetar,"['v', 'e', '_', 'a', 'r']","['a', 's', 'r', 'i', 'o', 'e', 'g', 'v', 'd']",5,4,1,['t'],0.2
azedarei,"['a', '_', 'e', '_', 'a', 'r', 'e', 'i']","['a', 'r', 'e', 'n', 'i', 'l', 'f', 'p', 'j']",8,4,2,"['z', 'd']",0.3333333333333333
exito,"['e', '_', 'i', 't', 'o']","['a', 'e', 'o', 'i', 't', 'g', 'd', 'm', 'v']",5,4,1,['x'],0.2
obtida,"['_', '_', 't', 'i', '_', 'a']","['a', 'r', 'i', 'c', 't', 'v', 'n', 'm']",6,3,3,"['d', 'b', 'o']",0.5
azeita,"['a', '_', 'e', 'i', 't', 'a']","['a', 'r', 'i', 't', 'e', 'c', 'f', 'j', 'l']",6,4,1,['z'],0.2
adubarieis,"['a', '_', '_', '_', 'a', 'r', 'i', 'e', 'i', 's']","['a', 's', 'i', 'e', 'r', 'l', 't', 'f', 'p', 'n']",10,5,3,"['d', 'u', 'b']",0.375
cambias,"['c', 'a', '_', '_', '_', 'a', 's']","['a', 's', 'r', 'c', 'l', 'v', 'n', 'd']",7,3,3,"['m', 'b', 'i']",0.5
batia,"['_', 'a', '_', 'i', 'a']","['a', 'r', 'c', 'l', 'n', 'i', 'v']",5,2,2,"['b', 't']",0.5
lajeado,"['_', 'a', '_', '_', 'a', 'd', 'o']","['a', 'r', 's', 'o', 'm', 'd', 't', 'c']",7,3,3,"['l', 'j', 'e']",0.5
sampaio,"['s', 'a', '_', '_', 'a', 'i', '_']","['a', 'r', 's', 'd', 'i', 'l', 'b', 'c']",7,3,3,"['m', 'p', 'o']",0.5
extremes,"['e', '_', 't', 'r', 'e', '_', 'e', 's']","['a', 'e', 'r', 's', 't', 'n', 'i', 'l', 'p']",8,4,2,"['m', 'x']",0.3333333333333333
papemo,"['_', 'a', '_', 'e', 'm', 'o']","['a', 's', 'r', 'o', 'c', 'm', 'e', 'b', 'v']",6,4,2,['p'],0.2
lembrar,"['_', 'e', '_', '_', 'r', 'a', 'r']","['a', 'r', 'e', 'd', 'n', 'g', 'p', 'i']",7,3,3,"['l', 'm', 'b']",0.5
afadigue,"['a', '_', 'a', '_', '_', '_', '_', 'e']","['a', 'r', 's', 'o', 'v', 'e', 'n']",8,2,5,"['d', 'g', 'f', 'u', 'i']",0.7142857142857143
cotizavam,"['_', '_', 't', 'i', 'z', 'a', 'v', 'a', 'm']","['a', 'r', 's', 'm', 'v', 'e', 'i', 't', 'g', 'z', 'b']",9,6,2,"['c', 'o']",0.25
aguco,"['a', '_', 'u', '_', 'o']","['a', 'e', 'o', 'i', 'u', 'd', 'l', 's']",5,3,2,"['c', 'g']",0.4
texugo,"['_', 'e', '_', '_', '_', 'o']","['a', 'e', 'r', 's', 'o', 'd', 'm']",6,2,4,"['u', 't', 'x', 'g']",0.6666666666666666
tocam,"['_', 'o', 'c', 'a', 'm']","['a', 's', 'r', 'i', 'm', 'c', 'o', 'f', 'l']",5,4,1,['t'],0.2
aliquotas,"['a', '_', 'i', '_', '_', '_', '_', 'a', 's']","['a', 'r', 's', 'i', 'v', 'n', 'c', 'd']",9,3,5,"['q', 't', 'o', 'l', 'u']",0.625
alguma,"['a', 'l', '_', '_', '_', 'a']","['a', 'r', 'i', 'e', 'l', 'c', 'f']",6,2,3,"['u', 'm', 'g']",0.6
combata,"['c', '_', '_', 'b', 'a', 't', 'a']","['a', 'r', 'v', 'd', 'n', 'c', 't', 'b', 'h']",7,4,2,"['m', 'o']",0.3333333333333333
sustamo,"['_', '_', '_', '_', 'a', 'm', 'o']","['a', 'o', 'm', 'r', 'i', 'e', 'l', 'c']",7,3,4,"['u', 's', 't']",0.5
taca,"['_', 'a', 'c', 'a']","['a', 'c', 'f', 'j', 'l', 'm', 'r']",4,2,1,['t'],0.3333333333333333
flutuam,"['_', '_', '_', '_', '_', 'a', 'm']","['a', 'r', 's', 'i', 'm', 'e', 'v']",7,2,5,"['f', 'u', 't', 'l']",0.6666666666666666
